row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmlọc hóa đầu > VND,Nhiên liệusinh học > VND,Sản xuất bao bì vàthương mại dịch vụ > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Sản phẩmlọc hóa đầu > VND,numeric__Nhiên liệusinh học > VND,numeric__Sản xuất bao bì vàthương mại dịch vụ > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩmlọc hóa đầu,Nhiên liệusinh học,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần,Chỉ tiêu > Doanh thu thuần,Doanh thu thuần,57.895.323.757.871,6.928.553.398,353.869.055.711,(297.008.693.568),57.959.112.673.412,57895323757871.0,6928553398.0,353869055711.0,-297008693568.0,57959112673412.0
Chi phí sản xuất kinh doanh,Chỉ tiêu > Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,60.878.574.859.724,84.217.970.877,341.629.632.251,(299.315.268.922),61.005.107.193.930,60878574859724.0,84217970877.0,341629632251.0,-299315268922.0,61005107193930.0
- Giá vốn hàng bán và dịch vụ cung cấp,Chỉ tiêu > - Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,60.063.500.340.583,82.136.617.110,320.800.268.788,(282.497.532.955),60.183.939.693.526,60063500340583.0,82136617110.0,320800268788.0,-282497532955.0,60183939693526.0
- Chi phí bán hàng,Chỉ tiêu > - Chi phí bán hàng,- Chi phí bán hàng,548.015.340.700,3.444.500,3.854.338.565,-,551.873.123.765,548015340700.0,3444500.0,3854338565.0,,551873123765.0
- Chi phí quản lý doanh nghiệp,Chỉ tiêu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,267.059.178.441,2.077.909.267,16.975.024.898,(16.817.735.967),269.294.376.639,267059178441.0,2077909267.0,16975024898.0,-16817735967.0,269294376639.0
Kết quả kinh doanh theo bộ phận,Chỉ tiêu > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(2.983.251.101.853),(77.289.417.479),12.239.423.460,2.306.575.354,(3.045.994.520.518),-2983251101853.0,-77289417479.0,12239423460.0,2306575354.0,-3045994520518.0
Doanh thu hoạt động tài chính,Chỉ tiêu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,666.178.306.758,,,,,666178306758.0
Chi phí tài chính,Chỉ tiêu > Chi phí tài chính,Chi phí tài chính,,,,,497.659.186.225,,,,,497659186225.0
Lợi nhuận khác,Chỉ tiêu > Lợi nhuận khác,Lợi nhuận khác,,,,,25.047.961.455,,,,,25047961455.0
(Lỗ) trước thuế thu nhập doanh nghiệp,Chỉ tiêu > (Lỗ) trước thuế thu nhập doanh nghiệp,(Lỗ) trước thuế thu nhập doanh nghiệp,,,,,(2.852.427.438.530),,,,,-2852427438530.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chỉ tiêu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,2.001.392.078,,,,,2001392078.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chỉ tiêu > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,3.698.671.766,,,,,3698671766.0
(Lỗ) sau thuế thu nhập doanh nghiệp,Chỉ tiêu > (Lỗ) sau thuế thu nhập doanh nghiệp,(Lỗ) sau thuế thu nhập doanh nghiệp,,,,,(2.858.127.502.374),,,,,-2858127502374.0
