row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tại ngày 31 tháng 12 năm 2017(Triệu VND)","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 1năm","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 5năm","Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 1năm","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Trên 5năm","numeric__Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam54A Nguyễn Chí Thanh, Phường Láng ThươngQuận Đồng Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2018 (tiếp theo) > Tổng cộng"
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Tiền gửi của khách hàngCác công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,675.743,26.674.932,11.642.911,9.248.286,6.567.299,2.039.203,141,56.848.515,,675743.0,26674932.0,11642911.0,9248286.0,6567299.0,2039203.0,141.0,56848515.0
