row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Địa chỉ,% sở hữu,% lợi ích kinh tế (i),Giá gốc VND,Dự phòng giảm giá VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__% sở hữu,numeric__% lợi ích kinh tế (i),numeric__Giá gốc VND,numeric__Dự phòng giảm giá VND,numeric__Giá trị hợp lý VND
▪ Công ty TNHH MTV Chuỗi Cung ứng Thủy sản Minh Phú,Các công ty con > ▪ Công ty TNHH MTV Chuỗi Cung ứng Thủy sản Minh Phú,▪ Công ty TNHH MTV Chuỗi Cung ứng Thủy sản Minh Phú,"Tỉnh Hậu Giang, Việt Nam","100,0%","100,0%",2.000.000.000,,- (****),,1.0,1.0,2000000000.0,,
▪ Công ty Cổ phần Căng Minh Phú Hậu Giang,Các công ty con > ▪ Công ty Cổ phần Căng Minh Phú Hậu Giang,▪ Công ty Cổ phần Căng Minh Phú Hậu Giang,"Tỉnh Hậu Giang, Việt Nam","50,0%","99,1%",100.000.000.000,,- (****),,0.5,0.991,100000000000.0,,
▪ Công ty TNHH Kho vận Ebisumo,Các công ty con > ▪ Công ty TNHH Kho vận Ebisumo,▪ Công ty TNHH Kho vận Ebisumo,"Thành phố Tokyo, Nhật Bản","100,0%","100,0%",935.000.000,,- (****),,1.0,1.0,935000000.0,,
▪ Công ty TNHH Thực phẩm Minh Phú (*),Các công ty con > ▪ Công ty TNHH Thực phẩm Minh Phú (*),▪ Công ty TNHH Thực phẩm Minh Phú (*),"Tỉnh Hậu Giang, Việt Nam","100,0%","100,0%",20.000.000,,- (****),,1.0,1.0,20000000.0,,
▪ Công ty Cổ phần Xã hội Chuỗi Tôm Rừng Minh Phú (**),Các công ty con > ▪ Công ty Cổ phần Xã hội Chuỗi Tôm Rừng Minh Phú (**),▪ Công ty Cổ phần Xã hội Chuỗi Tôm Rừng Minh Phú (**),"Tỉnh Cà Mau, Việt Nam","25,25%","45,45%",2.500.000.000,,- (****),,0.2525,0.4545,2500000000.0,,
▪ Công ty Cổ phần Nông nghiệp Công nghệ cao Minh Phú (***),Các công ty con > ▪ Công ty Cổ phần Nông nghiệp Công nghệ cao Minh Phú (***),▪ Công ty Cổ phần Nông nghiệp Công nghệ cao Minh Phú (***),"Tỉnh Kiên Giang, Việt Nam","60,0%","60,0%",3.575.000.000,,- (****),,0.6,0.6,3575000000.0,,
,,,,,,3.249.415.445.735,(316.235.405.952),,,,,3249415445735.0,-316235405952.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi Trồng Thủy Sản Minh Phú Aquamekong,Công ty liên kết > ▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi Trồng Thủy Sản Minh Phú Aquamekong,▪ Công ty TNHH Dịch vụ Kỹ thuật Nuôi Trồng Thủy Sản Minh Phú Aquamekong,"Thành phố Hồ Chí Minh, Việt Nam","49,00%","49,00%",3.900.000.000,,- (****),,0.49,0.49,3900000000.0,,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,,,
▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,Đơn vị khác > ▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,▪ Công ty Cổ phần Hạ tầng Sài Gòn – Cà Mau,"Tỉnh Cà Mau, Việt Nam","10,00%","10,00%",7.000.000.000,(111.246.470),,,0.1,0.1,7000000000.0,-111246470.0,
,,,,,,3.260.315.445.735,(316.346.652.422),,,,,3260315445735.0,-316346652422.0,
